chapterName,topics,unit,class,mainsWeightage,traits
Transition Elements and Coordination Chemistry,"D and F Block Elements (Transition Elements)
General introduction, electronic configuration, occurrence and characteristics of transition elements
General trends in properties of the first-row transition elements
Physical properties, ionization enthalpy, oxidation states, atomic radii, colour, catalytic behaviour, magnetic properties, complex formation, interstitial compounds, alloy formation
Preparation, properties, and uses of K2Cr2O7 and KMnO4.
Coordination Compounds
Introduction to coordination compounds, Werner’s theory
Ligands, coordination number, denticity, chelation
IUPAC nomenclature of mononuclear coordination compounds, isomerism
Bonding-Valence bond approach and basic ideas of Crystal field theory, colour and magnetic properties
Importance of coordination compounds (in qualitative analysis, extraction of metals and in biological systems)",Inoganic Chemistry,12,12,"Analytical thinking
Spatial reasoning
Conceptual understanding
Problem-solving skills"
Periodic table and Representative Elements,"Classification of Elements and Periodicity in Properties
Modern periodic law and present form of the periodic table
s, p, d and f block elements
Periodic trends in properties of elements: atomic and ionic radii, ionization enthalpy, electron gain enthalpy, valence, oxidation states and chemical reactivity
S Block Elements (Alkali and Alkaline Earth Metals)
General introduction, electronic configuration, and general trends in physical and chemical properties of elements
Anomalous properties of the first element of each group, diagonal relationships
Preparation and properties of some important compounds",Inorganic Chemistry,11,12,"Pattern recognition
Memory retention
Logical reasoning
Attention to detail"
Thermodynamics and Gaseous State,"Chemical Thermodynamics
Fundamentals of thermodynamics, types of processes
First law of thermodynamics: Concept of work, heat, internal energy, and enthalpy
Hess’s law of constant heat summation
Enthalpies of bond dissociation, combustion, formation, atomization, sublimation, phase transition, hydration, ionization, and solution
The second law of thermodynamics, spontaneity of processes
States of Matter (Gaseous State)
Classification of matter into solid, liquid and gaseous states
Measurable properties of gases
Gas laws – Boyle’s law, Charles’s law, Graham’s law of diffusion, Avogadro’s law, Dalton’s law of partial pressure
The concept of the absolute scale of temperature, ideal gas equation, kinetic theory of gases
Real gases, deviation from Ideal behaviour, compressibility factor, van der Waals equation, liquefaction of gases, critical constants",Physical Chemistry,11,8,"Critical thinking
Mathematical aptitude
Conceptual modeling
Data interpretation"
Atomic structure,"Thomson and Rutherford atomic models and their limitations.
Nature of electromagnetic radiation, photoelectric effect.
The spectrum of the hydrogen atom, Bohr model of hydrogen atom – its postulates, derivation of the relations for the energy of the electron and radii of the different orbits, limitations of Bohr’s model.
Dual nature of matter, de-Broglie relationship, Heisenberg uncertainty principle.
Elementary ideas of quantum mechanics, the quantum mechanical model of an atom, its important features, the concept of atomic orbitals as one-electron wave functions.
Variation of Ψ1 and Ψ2 with r for 1s and 2s orbitals; various quantum numbers (principal, angular momentum, and magnetic quantum numbers), and their significance.
Shapes of s, p and d – orbitals, electron spin and spin quantum number.
Rules for filling electrons in orbitals – Aufbau principle, Pauli exclusion principle and Hund’s rule, electronic configuration of elements, the extra stability of half-filled and completely filled orbitals.",Physical Chemistry,11,8,"Abstract reasoning
Visualization abilities
Attentional flexibility
Deductive reasoning"
Chemical Bonding,"Kossel – Lewis approach to chemical bond formation, the concept of ionic and covalent bonds.
Ionic Bonding: Formation of ionic bonds, factors affecting the formation of ionic bonds; calculation of lattice enthalpy.
Covalent Bonding: Concept of electronegativity, Fajan’s rule, dipole moment; Valence Shell Electron Pair Repulsion (VSEPR) theory and shapes of simple molecules.
Quantum mechanical approach to covalent bonding: Valence bond theory, Its important features, the concept of hybridization involving s, p, and d orbitals; Resonance.
Molecular Orbital Theory: Its important features, LCAOs, types of molecular orbitals (bonding, antibonding), sigma and pi-bonds, molecular orbital electronic configurations of homonuclear diatomic molecules, the concept of bond order, bond length and bond energy.
Elementary idea of metallic bonding, Hydrogen bonding, and its applications.",Physical Chemistry,11,8,"Logical deduction
Abstract thinking
Pattern recognition
Creative problem-solving"
Chemical and Ionic Equilibrium," Equilibrium
Equilibria involving physical processes and chemical processes
Ionic equilibrium: Weak and strong electrolytes, acid-base equilibria, ionization of water, pH scale, common ion effect, hydrolysis of salts, solubility products, buffer solutions
Purification and Characterisation of Organic Compounds
Detection of extra elements (Nitrogen, Sulphur, halogens) in organic compounds
Detection of functional groups: hydroxyl, carbonyl, carboxyl, amino groups in organic compounds",Physical Chemistry,11,8,"Analytical reasoning
Persistence
Adaptability
Strategic planning"
Solid State," States of Matter (Solid State)
Classification of solids-molecular, ionic, covalent and metallic solids
Amorphous and crystalline solids, Bragg’s Law and its applications
Unit cell and lattices, packing in solids, imperfections in solids
Electrical, magnetic and dielectric properties",Physical Chemistry,11,4,"Systems thinking
Visualization skills
Attention to detail
Logical organization"
Nuclear Chemistry and Environment,"Environmental Chemistry
Environmental pollution: Atmospheric, water, and soil
Strategies to control environmental pollution",Physical Chemistry,12,4,"Critical analysis
Risk assessment
Scientific literacy
Ethical reasoning"
Mole Concept,"Some Basic Concepts of Chemistry
Matter and its nature, Dalton’s atomic theory, the concept of the atom, molecule, element, and compound
Physical quantities and their measurements in Chemistry, laws of chemical combination
Atomic and molecular masses, mole concept, molar mass, percentage composition, empirical and molecular formulae
Chemical equations and stoichiometry",Physical Chemistry,11,4,"Numerical reasoning
Conceptual understanding
Precision
Metacognition"
Redox reaction,"Redox Reactions and Electrochemistry
Electronic concepts of oxidation and reduction, redox reactions
Balancing of redox reactions, electrode potentials, emf of a Galvanic cell, Nernst equation
Electrolytic and Galvanic cells, fuel cells",Physical Chemistry,11,4,"Strategic thinking
Decision-making skills
Time management
Error analysis"
Electrochemistry,"Redox Reactions and Electrochemistry
Electrolytic and metallic conduction, conductance in electrolytic solutions
Kohlrausch’s law, Electrochemical cells, specific and molar conductivities
Relationship between cell potential and Gibbs’ energy change",Physical Chemistry,12,4,"Experimental design
Hypothetical reasoning
Data interpretation
Precision"
